Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
руч. Мухтуя;19010300112219000071048 / 119007104;руч.Мухтуя - с.Островное;1420;0.9;23.7;109.18;БС;02.05.1960;Действует;Чукотское УГМС;68.1;164.17
руч. Ягодный;19010100212219000011650 / 119001165;руч.Ягодный - в 1.6 км от устья;1217;1.6;102;476.97;БС;19.05.1960;Действует;Колымское УГМС;62.52905;149.63119
Малый Салгир;21020000212106300002440 / 106300244;р. Малый Салгир - г. Симферополь;81741;0.7;96;231.15;БС;01.06.1960;Действует;Крымское УГМС;44.96;34.09
;;ВДХР КУЙБЫШЕВСКОЕ - С. ПОДВАЛЬЕ;3500508;;1210000;45;БС;08.06.1960;Действует;Приволжское УГМС;53.68;48.85
Глубокая;05010400512107000013860 / 107001386;р.Глубокая - х.Астаховский;78499;24;1130;30.7;БС;12.06.1960;Действует;Северо-Кавказское УГМС;48.45032;40.28202
Асса (Цирцловн-Цхали);07020001112108200005482 / 108200548;р.Асса - с. Мужичи;84261;66;770;0;усл.;17.06.1960;Действует;Северо-Кавказское УГМС;43.03;45
Терек (Старый Терек);07020001612108200002513 / 108200251;р.Терек. рук.Новый Терек - с.Аликазган;84822;21;39600;-24.73;БС;23.06.1960;Действует;Северо-Кавказское УГМС;43.63;47.38
;;ОЗ. ЧАНЫ - С.ТАГАН;2000310;;;103.03;БС 77;28.06.1960;Действует;Западно-Сибирское УГМС;54.58;77.19
Тюхтет (Еланный Тюхтет);13010400212115200019498 / 115201962;р.Тюхтет - с.Тюхтет;10404;3;798;176.01;БС;29.06.1960;Действует;Среднесибирское УГМС;56.52587;89.29222
;;ОЗ. ЯРКУЛЬ - С. ЯРКУЛЬ;2000329;;70.9;103.03;БС 77;30.06.1960;Действует;Западно-Сибирское УГМС;54.38;77.23
Талангуй;20030100312118100007565 / 118100756;р.Талангуй - с.Ложниково;6116;62;1340;724.56;БС 77;01.07.1960;Действует;Забайкальское УГМС;51.36452;117.04941
Итанца;16030000612116300019459 / 116301945;р.Итанца - с.Турунтаево;7148;22;2120;505.19;БС 77;01.07.1960;Действует;Забайкальское УГМС;52.19882;107.65241
Фиаг-Дон;07020000112108200003368 / 108200336;р.Фиагдон - с.Мичурино;84398;10;474;448.45;БС;01.07.1960;Действует;Северо-Кавказское УГМС;43.13;44.4
;;ОЗ. СМОЛИНО - Г. ЧЕЛЯБИНСК;4500535;;85;212.96;БС;01.07.1960;Действует;Уральское УГМС;55.07;61.42
Куда;16010100412116200001993 / 116200199;р.Куда - с.Ахины;8139;201;278;648;БС;06.08.1960;Действует;Иркутское УГМС;53.26014;104.9776
Харат;16010100412116200002259 / 116200225;р.Харат - с.Харат;8150;3;288;539.5;БС;13.08.1960;Действует;Иркутское УГМС;52.7576;105.06703
Урдома;08010300212110000010477 / 110001047;р.Урдома - с.Белятино;75221;4.8;345;90.04;БС;14.08.1960;Действует;Центральное УГМС;57.93874;39.50515
МАМА;18030200512117100032616 / 117103261;р.Мама - р.п.Луговский;3150;34;18400;234.05;БС;20.08.1960;Действует;Иркутское УГМС;58.06383;112.883
Оса;16010100812116200004914 / 116200491;р.Оса - с.Оса;8188;11;1870;409.49;БС;01.09.1960;Действует;Иркутское УГМС;53.39303;103.87778
Четь;13010400212115200019429 / 115201942;Р.ЧЕТЬ - С.КОНТОРКА;10402;153;11500;118.75;БС;08.09.1960;Действует;Западно-Сибирское УГМС;57.05183;88.11151
Чуня (Южн. Чуня);17010500212116100041621 / 116104162;р.Чуня - пос.Стрелка-Чуня;9392;727;13300;338.3;БС 77;14.09.1960;Действует;Среднесибирское УГМС;61.75;102.8
Дукча;19100000212119000141614 / 119014161;р.Дукча - устье;1534;1.1;330;4.76;БС;15.09.1960;Действует;Колымское УГМС;59.56657;150.91626
ТУШОНКА;11010000512112100004642 / 112100464;р.Тушонка - с.Екатериновка;77210;1;309;54.2;БС;15.09.1960;Действует;Приволжское УГМС;54.06;48.53
Иосер (Иошера, Иоссер, Есер);03020200212103000021920 / 103002192;р. Иосер - пос.Иосер;70248;15;1510;114.49;БС;24.09.1960;Действует;Северное УГМС;62.99823;52.19955
;;ВДХР ПАВЛОВСКОЕ - Д. ХОРОШАЕВО;5200082;;47100;129;БС;24.09.1960;Действует;Башкирское УГМС;55.6;56.68
Малая Бира (Бирушка, Он-Бира);20030600112118100050193 / 118105019;р.Малая Бира - с.Алексеевка;5052;84;1120;55.13;БС 77;28.09.1960;Действует;Дальневосточное УГМС;48.2924;132.9675
Весляна (Висляна, Весленга, Весл-Вы);03020200212103000021913 / 103002191;р. Весляна - р.п.Вожаёль;70246;62;3940;93.6;БС;30.09.1960;Действует;Северное УГМС;62.84986;51.31955
МОСКВА;09010101012110000023004 / 110002300;р. Москва - д. Барсуки;75395;411;755;183;БС;01.10.1960;Действует;Центральное УГМС;55.68;35.6
Северский Донец (Северный Донец);05010400112107000010689 / 107001068;р. Северский Донец - с. Киселево;78275;1014;740;120.08;БС;01.10.1960;Действует;Центрально-Черноземное УГМС;50.71565;36.679
;;ОЗ.НЬЭДЬЭЛИ - С.АРЫКТАХ;5100157;;1010;109.47;БС 77;04.10.1960;Действует;Якутское УГМС;63.57;125.25
Терек (Старый Терек);07020001612108200002513 / 108200251;р.Терек,рук.Новый Терек - Каргалинский гидроузел;84803;105;37400;-2;БС 77;05.10.1960;Действует;Северо-Кавказское УГМС;43.71;46.55
Белая;13010200312115100009198 / 115100958;Р.БЕЛАЯ - С.БУГРЫШИХА;10137;44;1140;359.53;БС 77;20.10.1960;Действует;Западно-Сибирское УГМС;51.2768;82.80123
Уй;14010500212111200000607 / 111200060;р. УЙ - пос. ПЛОДОВЫЙ (Троицкий плодопитомнический свх);12043;228;7660;161.34;БС;21.10.1960;Действует;Уральское УГМС;54.08665;61.4013
АМГУНЬ;20030800112118100081702 / 118108170;р.Амгунь - Каменка;5449;375;21300;58.72;БС 77;25.10.1960;Действует;Дальневосточное УГМС;52.23948;136.32874
Хурмули;20030900212118100076636 / 118107663;р.Хурмули - пос.Хурмули;5440;32;648;36.97;БС;28.10.1960;Действует;Дальневосточное УГМС;51.01702;136.91523
Хзан-ор;07030000112109300000841 / 109300084;р.Хзан-ор - с.Бежта;84315;26;84.7;5.41;усл.;01.11.1960;Действует;Северо-Кавказское УГМС;42.13;46.13
Уса;11010000512112100005465 / 112100546;р.Уса - с.Байдеряково;77223;23;1940;60.46;БС;02.11.1960;Действует;Приволжское УГМС;53.46;48.56
Елбань;13010200512115200004626 / 115200462;Р.ЕЛБАНЬ - С.ЕЛБАНЬ;10208;15;290;237.97;БС;25.11.1960;Действует;Западно-Сибирское УГМС;54.31806;84.59678
Гамри-озень (Херхла-херки, Гамри-котты);07030000312109300001792 / 109300179;р.Гамри-озень - с.Бурдеки;84333;40;211;0;усл.;29.11.1960;Действует;Северо-Кавказское УГМС;42.3;47.66
Палана;19080000112120000037317 / 120003731;р.Палана - пос.Палана;2211;10;2300;6.5;БС;01.01.1961;Действует;Камчатское УГМС;59.0823;159.94356
Михакина;19080000112120000037546 / 120003754;р.Михакина - пос.Палана;2212;0.6;21.3;8.4;усл.;01.01.1961;Действует;Камчатское УГМС;59.08296;159.96064
Оленёк;18020000212117600047229 / 117604722;р.Оленек - 7.5 км ниже устья р.Буур;3811;235;198000;-1.31;БС 77;01.01.1961;Действует;Якутское УГМС;71.85;123.65
Нимелен (Немилен);20030800112118100084215 / 118108421;р.Нимелен - Апкороши;5458;111;4700;64.78;БС 77;01.01.1961;Действует;Дальневосточное УГМС;52.80036;136.55737
КИВДА;20030500212118100047850 / 118104785;р.Кивда - пос.Новорайчихинск;6507;20;113;127.22;БС 77;01.01.1961;Действует;Дальневосточное УГМС;49.78597;129.59977
ЧУЛЫМ;13010400112115200013824 / 115201391;р.Чулым - д.Копьёво;10315;1788;9990;371.31;БС;20.01.1961;Действует;Среднесибирское УГМС;55.04008;89.85668
Злая (Арге);01010000312104300009728 / 104300972;р.Злая - с.Приозерье;74410;12;142;-2.31;БС;31.01.1961;Действует;Северо-Западное УГМС;55.01;21.73
Красная;11010000512112100004611 / 112100461;р.Красная - с.Красная Река;77209;7.1;311;54.99;БС;01.02.1961;Действует;Приволжское УГМС;54.56;49.13
Среднее Олонгро;20030300112118100018536 / 118101853;р.Среднее Олонгро - г.Могоча;6235;1.5;77.6;602.65;БС 77;20.02.1961;Действует;Забайкальское УГМС;53.7404;119.7534
;;ОЗ.ТОБОЛ-КУШЛЫ - Д.ДЕСПОДЗИНОВКА;3200182;;114;2.31;усл.;01.03.1961;Действует;Обь-Иртышское УГМС;55.708638;73.171481
;;ОЗ.ОГЛУХИНО - С.ОГЛУХИНО;3200115;;22.2;117.48;БС;01.03.1961;Действует;Обь-Иртышское УГМС;55.861444;71.784428
Кашкан;19070000112120000012782 / 120001278;р.Кашкан - с.Пущино;2028;0.8;72.7;11.2;усл.;04.03.1961;Действует;Камчатское УГМС;54.16;157.96
Стежера;08010300412110000013322 / 110001332;р.Стежера - д.Шолохово;75265;6.2;216;87;БС;24.03.1961;Действует;Центральное УГМС;57.54871;41.20737
;;ОЗ. БОЛ. БЕРЧИКУЛЬ - С. БЕРЧИКУЛЬ;2000187;;46.2;324.05;БС;12.04.1961;Действует;Западно-Сибирское УГМС;55.38;88.18
Дымовка (Кун-йоки, Курун-йоки);01040300212102000009317 / 102000931;Р.ДЫMOВКA - ПOС.ЗAЙЦЕВO;72076;26;238;12.66;БС;18.04.1961;Действует;Северо-Западное УГМС;61.06323;29.44674
Чара;18030400212117200020787 / 117202078;р.Чара - гп Большое Леприндо;3175;851;241;979.08;БС 77;25.04.1961;Действует;Забайкальское УГМС;56.65;117.6
Алоля (Алоль);01030000112102000027727 / 102002772;Р.AЛOЛЯ - Д.ЕРMOЛOВO;72668;14;754;146.63;БС;11.05.1961;Действует;Северо-Западное УГМС;56.50485;29.14565
Кума;07010000612108200001471 / 108200147;р.Кума - с.Новозаведенное;84031;533;6350;194.22;БС 77;26.05.1961;Действует;Северо-Кавказское УГМС;44.25;43.63
Альчик;19080000212120000030423 / 120003042;р.Альчик - с.Ича;2187;3.9;42.5;6.72;усл.;01.06.1961;Действует;Камчатское УГМС;55.58;155.85
Генал-Дон;07020000112108200003511 / 108200351;р.Геналдон - с.Кармадон;84170;10;70;1351.59;БС;01.06.1961;Действует;Северо-Кавказское УГМС;42.86;44.53
;;ОЭ.ЭМАНДЖА - ГМ.СТ.ИЭМА;5100201;;179;668.72;БС 77;01.06.1961;Действует;Якутское УГМС;65.278975;135.773393
Ключёвка;19080000212120000026082 / 120002608;р.Ключевка - с.Малки;2148;1;152;3;усл.;09.06.1961;Действует;Камчатское УГМС;53.33;157.46
Амбар-Юрюетэ (Дунай);18050000112117700044716 / 117704471;р.Амбар-Юрюетэ(Дунай) - г.п.Ремпункт;3516;1;16.6;494.19;БС 77;09.06.1961;Действует;Якутское УГМС;64.51;143.11
;;ВДХР ИРИКЛИНСКОЕ - ПГТ ИРИКЛИНСКИЙ;3500792;;36960;233;БС;22.06.1961;Действует;Приволжское УГМС;51.67;58.65
Хила;20030100312118100008388 / 118100838;р.Хила - ст.Ага;6128;6.9;1480;617.04;БС 77;10.07.1961;Действует;Забайкальское УГМС;51.19271;115.173
Бирюса;17010300312116100019946 / 116101994;р.Бирюса - пос.Верхняя Бирюса;9309;6.3;357;273.93;БС 77;19.07.1961;Действует;Среднесибирское УГМС;55.91;92.03
;;ОЗ. БОЛЬШОЕ ЛЕПРИНДО - ГП БОЛЬШОЕ ЛЕПРИНДО;1800185;;233;977.59;БС;01.08.1961;Действует;Забайкальское УГМС;56.625653;117.528475
Ук;14010500412111200002654 / 111200265;р. Ук - г. Заводоуковск;12101;13;917;61.02;БС 77;04.08.1961;Действует;Обь-Иртышское УГМС;56.5;66.55
Вычегда;03020200212103000013575 / 103001357;р. Вычегда - д.Федяково;70200;69;112000;46.83;БС;07.08.1961;Действует;Северное УГМС;61.43;47.65
Иня (Нижняя);13010200612115200005288 / 115200528;Р.ИНЯ(НИЖНЯЯ) - Г.ЛЕНИНСК-КУЗНЕЦКИЙ;10215;476;5460;163.98;БС;11.08.1961;Действует;Западно-Сибирское УГМС;54.66529;86.13054
СЕДЬЮ;03050300112103000075991 / 103007599;р. Седь-Ю - пос.Седью;70517;18;2410;79.48;БС;15.08.1961;Действует;Северное УГМС;63.39979;53.96782
Едома;03030000112103000046224 / 103004622;р.Едома - лесхимучасток Оськино;70393;13;120;36.57;БС 77;22.08.1961;Действует;Северное УГМС;64.89221;45.82852
Эрзин;17010320012116100157687 / 116115768;р.Эрзин - с.Эрзин;9503;7.2;4240;1084.47;БС 77;31.08.1961;Действует;Среднесибирское УГМС;50.26713;95.14288
;;ВДХР БРАТСКОЕ - ГЭС БРАТСКАЯ (В. Б. );2200419;;736000;392;БС;02.09.1961;Действует;Иркутское УГМС;56.286249;101.783161
ГОЛЬЦОВКА;02020000312201000010420 / 101001042;р.Гольцовка - ст.Имандра;71267;0.4;89.8;130.09;БС 77;08.09.1961;Действует;Мурманское УГМС;67.83501;33.23896
Лепша;03010000112103000002455 / 103000245;р.Лепша - д.Федосеевская;70036;62;1010;82.32;БС 77;10.09.1961;Действует;Северное УГМС;62.12043;40.68209
Ануй (Черный Ануй);13010200312115100008214 / 115100821;Р.АНУЙ - СВХ АНУЙСКИЙ;10122;116;4870;190.23;БС 77;12.09.1961;Действует;Западно-Сибирское УГМС;52.28027;84.86296
КОНДА;14010600112115300015606 / 115301560;р. Конда - г. Урай;11521;674;23400;41.52;БС;15.09.1961;Действует;Обь-Иртышское УГМС;60.13564;64.81736
Нюкжа;18030400112117200014402 / 117201440;р.Нюкжа - гм.ст.Лопча;3172;191;20500;495.58;БС 77;15.09.1961;Действует;Дальневосточное УГМС;55.76;122.66
;;ОЗ.ТЮНГЮЛЮ (СЕГЕЛЕЙ) - С.ТЮНГЮЛЮ;5100252;;137;132.48;БС 77;15.09.1961;Действует;Якутское УГМС;62.2;130.63
;;ВДХР БРАТСКОЕ - ПОС. НАРАТАЙ;2200400;;736000;392;БС;16.09.1961;Действует;Иркутское УГМС;56.13;102.33
Ныда;15040000212115300052354 / 115305235;р. Ныда - с. Ныда;11806;1;6700;-1.92;БС 77;23.09.1961;Действует;Обь-Иртышское УГМС;66.63;72.93
Урга;08010500412110000040124 / 110004012;Р.УРГА - С.ПОКРОВСКИЙ МАЙДАН;75664;73;1880;69;БС;01.10.1961;Действует;Верхне-Волжское УГМС;55.96013;45.77138
АЛАЗЕЯ;18060000112117700071351 / 117707135;р.Алазея - с.Аргахтах;3881;825;17700;10.77;БС;06.10.1961;Действует;Якутское УГМС;68.5;153.41
Турка;16040000212116300006023 / 116300602;р.Турка - пос.Соболиха;7036;26;5050;460.46;БС 77;07.10.1961;Действует;Забайкальское УГМС;52.919;108.39959
Бол. Нягов;14010100212115300006769 / 115300676;р. Большой Нягов - с. Чередово;11384;29;836;59.44;БС 77;08.10.1961;Действует;Обь-Иртышское УГМС;57.02005;73.65151
;;ВДХР БРАТСКОЕ - С. КАЛТУК;2200451;;736000;392;БС;14.10.1961;Действует;Иркутское УГМС;55.680001;101.755599
Пиначевская;19070000212120000023039 / 120002303;р.Пиначевская - с.Пиначево;2103;25;212;-1.16;усл.;17.10.1961;Действует;Камчатское УГМС;53.21;158.4
АЛАЗЕЯ;18060000112117700071351 / 117707135;р.Алазея - с.Андрюшкино;3882;521;29000;2.69;БС 77;20.10.1961;Действует;Якутское УГМС;69.16;154.5
Тунак;16010100812116200005478 / 116200547;р.Тунак - д.Чичкова;8198;5;812;409;БС;21.10.1961;Действует;Иркутское УГМС;54.19012;103.7101
;;ВДХР МАМАКАНСКОЕ - ПГТ МАМАКАН;2200695;;9470;233.85;БС;22.10.1961;Действует;Иркутское УГМС;57.81762;114.012352
Непа;17010700112116100062768 / 116106276;р.Непа - с.Ика ;9417;185;15000;344.22;БС;01.11.1961;Действует;Иркутское УГМС;59.3;106.35
;;ВДХР ВОТКИНСКОЕ - С. БАБКА;4500298;;182000;80;БС;02.11.1961;Действует;Уральское УГМС;57.08;54.5
Лоймина;08010300412110000017016 / 110001701;р.Лоймина - д.Георгиевское;75299;3.9;161;80.34;БС;05.11.1961;Действует;Верхне-Волжское УГМС;57.06657;43.32997
Павловка (Фудзин, Лифудзин);20030700212118100052124 / 118105212;р.Павловка - с.Уборка;5135;2.6;3350;179.45;БС 77;12.11.1961;Действует;Приморское УГМС;44.41089;134.06251
;;ВДХР ВОТКИНСКОЕ - С. ЕЛОВО;4500271;;182000;80;БС;16.11.1961;Действует;Уральское УГМС;57.05;54.93
Томна;08010300412110000013612 / 110001361;р.Томна - д.Луговое;75271;2.3;32.2;83.25;БС;24.02.1962;Действует;Центральное УГМС;57.42887;42.22441
;;ОЗ.АНДРЕЕВСКОЕ - Р.П.БОРОВСКИЙ;3200052;;237;51.81;БС;26.02.1962;Действует;Обь-Иртышское УГМС;57.048609;65.741249
Санихта;08010300412110000017122 / 110001712;р.Санихта - д. Букашево;75300;4.7;108;82.8;БС;05.04.1962;Действует;Верхне-Волжское УГМС;56.76866;43.13401
Выг (Верхний Выг);02020001212102000005158 / 102000515;Р.ВЫГ (ВЕРХНИЙ ВЫГ) - Д.OГOРЕЛЫШИ;49090;42;2210;122.58;БС;18.04.1962;Действует;Северо-Западное УГМС;63.01656;35.67097
;;ВДХР БРАТСКОЕ - С. ПОДВОЛОЧНОЕ;2200372;;736000;392;БС;21.04.1962;Действует;Иркутское УГМС;55.205427;103.359448
Каренга;18030200112117100019598 / 117101959;р.Каренга - с.Усть-Каренга;3120;5.5;9460;653.79;БС 77;28.04.1962;Действует;Забайкальское УГМС;54.43986;116.52514
Тырма;20030500112118100045796 / 118104579;р.Тырма - у ж.-д. моста;6491;124;6550;273.49;БС 77;01.05.1962;Действует;Дальневосточное УГМС;50.02452;132.12145
Бия;13010100112115100000014 / 115100001;Р.БИЯ - С.АРТЫБАШ;10594;299;20100;426.92;БС 77;05.05.1962;Действует;Западно-Сибирское УГМС;51.8;87.25
МАЛЫЙ ЕНИСЕЙ;17010200112116100004749 / 116100474;р.Малый Енисей - пос.Усть-Ужеп;9124;177;42300;45;усл.;01.06.1962;Действует;Среднесибирское УГМС;51.33;96.25
Агата;13010400112115200014920 / 115201501;р.Агата - д.Новоалександровка;10341;45;77.4;436.48;БС;13.06.1962;Действует;Среднесибирское УГМС;55.58935;90.65094
СЫНЯ;15020300112115300029842 / 115302984;р. Сыня - с. Овгорт;11555;88;9880;5.01;БС 77;15.06.1962;Действует;Обь-Иртышское УГМС;64.83067;63.96124
Емуртла;14010500412111200002470 / 111200247;р. Емуртла - с. Емуртла;12098;52;3250;66.7;БС 77;19.06.1962;Действует;Обь-Иртышское УГМС;56.16422;66.46249
Вилюйка;16030000612116300019893 / 116301989;р.Вилюйка - пгт Селенгинск;7152;3.5;255;468;БС 77;19.06.1962;Действует;Забайкальское УГМС;52.02376;106.85003
Радио-Уруйэтэ;18030600212117300003585 / 117300358;р.Радио-Уруйэтэ - 1.8 км от устья;3245;1.8;22.8;283;БС;29.06.1962;Действует;Якутское УГМС;58.96;126.26
Чапша;13010100312115100007395 / 115100739;Р.ЧАПША - С.КРАСНОГОРСКОЕ;10111;12;856;244.05;БС 77;01.07.1962;Действует;Западно-Сибирское УГМС;52.2912;86.19843
Дудет (Средн. Дудет);13010400112115200015620 / 115201562;Р.ДУДЕТ - С.ТАМБАР;10357;24;615;300.85;БС;01.07.1962;Действует;Западно-Сибирское УГМС;55.59442;88.62429
Внина (Горицкая);08010200112110000007143 / 110000714;р. Внина - д.Серёдка;75158;38;497;128.78;БС;12.07.1962;Действует;Северное УГМС;59.21;35.65
Старая Ижма;03020300512103000040147 / 103004008;р. Ижма - д. Ижма;70361;13;321;0.23;БС 77;16.07.1962;Действует;Северное УГМС;64.71812;40.76499
Большой Он;17010300212116100013969 / 116101396;р.Большой Он - пос.Большой Он;9217;0.8;1040;787;БС;26.07.1962;Действует;Среднесибирское УГМС;52.06877;89.7616
Сисим;17010300312116100019137 / 116101913;р.Сисим - пос.Берёзовая;9306;19;2810;289.42;БС 77;26.07.1962;Действует;Среднесибирское УГМС;54.95;92.13
Чаваньга;02020000212101000007530 / 101000753;р.Чаваньга - с.Чаваньга;71185;3;1180;19.67;БС 77;28.07.1962;Действует;Мурманское УГМС;66.13391;37.74971
Тукса;01040300212102000011884 / 102001188;Р.TУКСA - С.TУКСA;72739;6.2;142;7.2;БС;28.07.1962;Действует;Северо-Западное УГМС;61.03684;32.83977
Солзан;16020000112116300021030 / 116302103;р.Солзан - г.Байкальск;7170;2.3;153;485;БС;01.08.1962;Действует;Иркутское УГМС;51.65;104.13
Выша (Нокса);09010200312110000029591 / 110002959;р.Выша - пос.Десятый Октябрь;75530;102;2190;112.12;БС;01.08.1962;Действует;Приволжское УГМС;53.54823;42.67488
Ока (Аха);16010100612116200006699 / 116200669;р.Ока - с.Усть-Када;8209;36;33400;406.9;БС;01.08.1962;Действует;Иркутское УГМС;54.48872;102.01397
;;ВДХР ИРИКЛИНСКОЕ - С. ЧАПАЕВКА;3500776;;36960;233;БС;01.08.1962;Действует;Приволжское УГМС;52.05;58.82
;;ВДХР ИРИКЛИНСКОЕ - С. ГОРНЫЙ ЕРИК;3500784;;36960;233;БС;01.08.1962;Действует;Приволжское УГМС;51.78;58.83
Пенжина;19090000112120000043681 / 120004368;р.Пенжина - с.Аянка;2217;344;27400;2;усл.;03.08.1962;Действует;Камчатское УГМС;62.71;167.61
Китовая;20050000312118300010850 / 118301085;р. Китовая - с. Китовое;4212;0.3;28.4;3.5;абс.;10.08.1962;Действует;Сахалинское УГМС;45.25;147.88
Эня-йоки (Ана-еги, Майналан-йоки, Эняеки);01040300212102000011518 / 102001151;Р.ЭНЯ-ЙOКИ - Д.РЯЙMЯЛЯ;72102;8.4;450;4.48;БС;10.08.1962;Действует;Северо-Западное УГМС;61.34921;31.96237
Самина;01040100612102000017369 / 102001736;р.Самина - пос.Октябрьский;48099;16;848;39.05;БС;17.08.1962;Действует;Северное УГМС;61.38306;36.65338
Малый Цивиль (Енелька);08010400412112100000285 / 112100028;Р.МАЛЫЙ ЦИВИЛЬ - С.ШИГАЛИ;77115;45;1200;72.96;БС;17.08.1962;Действует;Верхне-Волжское УГМС;55.68;47.48
Лекса (Лекша);02020001212102000005295 / 102000529;Р.ЛЕКСA - ПOС.СЕРГИЕВO;49093;8.2;463;138;БС;19.08.1962;Действует;Северо-Западное УГМС;62.91346;36.03143
Черная;17010400112116100026042 / 116102604;р.Чёрная - з.Чёрное;9371;59;301;105.85;БС 77;20.08.1962;Действует;Среднесибирское УГМС;58.7;92.36
Ухта;03010000112103000000598 / 103000059;р.Ухта - д.Ерёмино;70021;9.6;865;122.78;БС 77;22.08.1962;Действует;Северное УГМС;61.18712;38.55336
Тешнярь;08010500112110000035185 / 110003518;р.Тешнярь - пгт Сосновоборск;75631;3;466;177.84;БС;03.09.1962;Действует;Приволжское УГМС;53.28789;46.24277
Кучерла (Кочурла);13010100312115100004103 / 115100410;Р.КУЧЕРЛА - С.КУЧЕРЛА;10078;2;627;879.94;БС 77;08.09.1962;Действует;Западно-Сибирское УГМС;50.14513;86.3299
Манилы;19090000112120000052171 / 120005217;р.Манилы - с.Манилы;2222;2.2;191;6.39;БС;10.09.1962;Действует;Камчатское УГМС;62.494;165.35
ТАРУСА;09010100812110000021890 / 110002189;р. Таруса - д. Похвиснево;75388;11;872;120.75;БС;13.09.1962;Действует;Центральное УГМС;54.74375;37.11241
Анзирка;10010300612111100040738 / 111104073;р. Анзирка - с. Яковлево;76646;13;190;61.24;БС;18.09.1962;Действует;УГМС Республики Татарстан;55.73488;51.56558
Терехта;13010400112115200015149 / 115100394;Р.БОЛЬШАЯ ТЕРЕХТА - С.ТЕРЕХТА;10075;13;383;1054.9;БС;19.09.1962;Действует;Западно-Сибирское УГМС;50.29998;85.88004
Амалат (Бол. Амалат);18030200212117100025413 / 117102541;р.Амалат - пос.Рассошино;3131;136;8790;715.14;БС 77;25.09.1962;Действует;Забайкальское УГМС;54.29942;114.31684
Сыда;17010300312116100018239 / 116101823;р.Сыда - с.Отрок;9290;58;1480;325.11;БС;01.10.1962;Действует;Среднесибирское УГМС;54.45;92.53
МЕЛЛЯ;10010101312111100028633 / 111102863;р. Мелля - с. Михайловка;76520;18;770;80.46;БС;22.10.1962;Действует;УГМС Республики Татарстан;55.23065;52.91401
СРЕДНИЙ АНИШ;08010400712112100001487 / 112100148;Р.СРЕДНИЙ АНИШ - С.БАЙГУЛОВО;77130;2.8;366;39.5;усл.;26.10.1962;Действует;Верхне-Волжское УГМС;55.83;47.96
;;ОЗ.ОНЕЖСКОЕ (ВДХР ВЕРХНЕ-СВИРСКОЕ) - О.МАЯЧНЫЙ;3900747;;62800;31.8;БС;26.10.1962;Действует;Северо-Западное УГМС;60.57222222;28.42527778
ОЧЕПУХА;20050000212118300005833 / 118300583;р. Очепуха - с. Лесное;4102;1.4;195;1.49;БС;28.10.1962;Действует;Сахалинское УГМС;46.90743;143.08228
;;ВДХР БРАТСКОЕ - ОГП БРАТСКАЯ КАДА;2200435;;736000;392;БС;30.10.1962;Действует;Иркутское УГМС;55.05;102.1
Джуса;12010000312112200002677 / 112200267;р.Джуса - с.Добровольское;19121;15;918;244.05;БС;01.11.1962;Действует;Приволжское УГМС;51.68;59.28
СУНА;01040100212102000014812 / 102001481;Р.СУНA - Д.КИВAЧ;48043;31;6420;52.5;БС;01.11.1962;Действует;Северо-Западное УГМС;62.28;33.96
;;ВДХР БРАТСКОЕ - ПГТ БАЛАГАНСК;2200356;;736000;392;БС;08.11.1962;Действует;Иркутское УГМС;54;103.07
;;ОЗ. ТИБЕРКУЛЬ - ПОС. ТИБЕРКУЛЬ;2700078;;136;44;усл.;23.12.1962;Действует;Среднесибирское УГМС;53.75;94.03
Березовка;19010100512119000044030 / 119004403;р.Берёзовка - с.Берёзовка;1367;202;15400;39.97;усл.;01.01.1963;Действует;Якутское УГМС;67.18;156.55
Баимка;19010300112119000063503 / 119006350;р.Баимка - гм.ст.Баимка;1621;45;471;276;БС;01.01.1963;Действует;Чукотское УГМС;66.53;164.28
Каспля;01020000412105000001950 / 105000195;р.Каспля - г.Демидов;73215;77;2660;149.87;БС;01.01.1963;Действует;Центральное УГМС;55.28317;31.48656
Кума;07010000712108200001471 / 108200147;р.Кума - г.Зеленокумск;84034;452;9960;140.08;БС 77;01.01.1963;Действует;Северо-Кавказское УГМС;44.41;43.88
;;ОЗ. НЯКШИНГДА - М. СТ. АГАТА;2700390;;977;270.4;БС;01.01.1963;Действует;Среднесибирское УГМС;66.940892;93.398974
Ундужа (Ундозерка, Ундукса);02020001212102000005608 / 102000560;Р.УНДУЖA - Д.ВOЖMOГOРA;49095;2.4;81;91.21;БС;01.03.1963;Действует;Северо-Западное УГМС;63.44847;35.47797
;;ОЗ. БАЙКАЛ - ПОС. ДАВША;2200112;;571000;453.27;БС;01.03.1963;Действует;Иркутское УГМС;51.86;104.81
Лужма (Селецкая);02020001112102000005739 / 102000573;Р.ЛУЖMA - Д.ИЛЬИНA ГOРA;49099;17;3480;128.77;БС;01.04.1963;Действует;Северо-Западное УГМС;63.21897;33.28385
Печегда;08010300212110000010538 / 110001053;р.Печегда - пос.Чебаково;75222;16;288;110.94;БС;01.04.1963;Действует;Центральное УГМС;57.75352;39.56053
Берш;19070000112120000012775 / 120001277;р.Берш - с.Пущино;2027;0.8;70.4;5;усл.;30.04.1963;Действует;Камчатское УГМС;54.16;157.96
