Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
Б.УССУРКА;20030700312118100055803 / 118105580;р.Большая Уссурка - г.Дальнереченск;5256;6.6;29500;52.36;БС;14.06.1913;Действует;Приморское УГМС;45.941591;133.723325
ПЕЧОРА;03050100112103000057306 / 103005730;р. Печора - д.Якша;70410;1506;9620;118.95;БС;16.06.1913;Действует;Северное УГМС;61.81701;56.84531
ПЕЧОРА;03050100112103000057306 / 103005730;р. Печора - с.Троицко-Печорск;70414;1359;35600;94.2;БС;20.06.1913;Действует;Северное УГМС;62.70927;56.20772
ПЕЧОРА;03050100212103000057306 / 103005730;р. Печора - с.Усть-Щугор;70421;1036;67500;57.97;БС 77;27.06.1913;Действует;Северное УГМС;64.26427;57.61834
ПЕЧОРА;03050300112103000057306 / 103005730;р. Печора - д.Мутный Материк;70429;610;205000;21.02;БС 77;04.07.1913;Действует;Северное УГМС;65.95;55.16
ПЕЧОРА;03050300212103000057306 / 103005730;р. Печора - с.Усть-Цильма;70850;425;248000;10.54;БС;07.07.1913;Действует;Северное УГМС;65.41585;52.22541
Комиссаровка (Синтухэ, Синтуха);20030700112118100055447 / 118105544;р.Комиссаровка - с.Ильинка;5239;25;2080;82.29;БС 77;14.07.1913;Действует;Приморское УГМС;44.91468;131.92291
Салгир;21020000212106300002310 / 106300231;р. Салгир - с. Лиственное;81730;36;3540;8.98;БС;28.08.1913;Действует;Крымское УГМС;45.48;34.81
Мзымта;06030000312109100000790 / 109100079;р.Мзымта - р.п.Красная Поляна;82050;41;510;463;БС 77;14.09.1913;Действует;СЦГМС ЧАМ;43.67963;40.21829
Сочи;06030000312109100000677 / 109100067;р.Сочи - г.Сочи;82039;1.1;296;1.67;БС 77;24.09.1913;Действует;СЦГМС ЧАМ;43.59283;39.71996
Хоста;06030000312109100000738 / 109100073;р.Хоста - пос.Хоста;82046;1.5;98.5;6.1;БС 77;24.09.1913;Действует;СЦГМС ЧАМ;43.51684;39.86974
Туапсе (Большая Чилипси);06030000212109100000395 / 109100039;р.Туапсе - г.Туапсе;82013;6.2;351;16;БС 77;04.10.1913;Действует;СЦГМС ЧАМ;44.09658;39.08636
Вятка;10010300512111100029744 / 111102974;Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ;76574;100;124000;54.83;БС;01.01.1914;Действует;Верхне-Волжское УГМС;56.2334;51.10198
Хопер;05010200112107000005186 / 107000518;р.Хопер - г.Балашов;78138;595;14300;100.88;БС;18.03.1914;Действует;Приволжское УГМС;51.55429;43.12722
Бол. Узень;12020000212112200000398 / 112200039;р.Большой Узень - г.Новоузенск;19016;388;7480;13.98;БС;25.03.1914;Действует;Приволжское УГМС;50.45;48.11
рук. Камызяк (рук. Кизань, рук. Тизань);11010002512012100013115 / 112101311;р.Волга, рук.Камызяк - г.Камызяк;77871;46;;-28;БС 77;01.04.1914;Действует;Северо-Кавказское УГМС;46.11;48.06
Ореховка (Сандо-Вака, Сандо-Вак);20030700312118100057906 / 118105790;р.Ореховка - пос.Ясная Поляна;5296;4.5;1790;102.11;БС;11.04.1914;Действует;Приморское УГМС;45.578927;134.32266
Обь;13010500112115200000019 / 115200001;Р.ОБЬ - Г.КОЛПАШЕВО;10021;2422;486000;52.62;БС 77;13.04.1914;Действует;Западно-Сибирское УГМС;58.30033;82.90321
Вага;03020300212103000028162 / 103002816;р. Вага - г. Шенкурск;70281;158;38400;30.46;БС 77;22.04.1914;Действует;Северное УГМС;62.1;42.89
Воронеж;05010100512107000002368 / 107000236;р. Воронеж - г. Липецк;78081;192;15300;94.96;БС;25.04.1914;Действует;Центрально-Черноземное УГМС;52.61;39.56
Аввакумовка;20040000212118200007961 / 118200796;р.Аввакумовка - пос.Ветка;5532;17;1740;11.77;БС 77;14.05.1914;Действует;Приморское УГМС;43.749347;135.168837
Ворона;05010200212107000006182 / 107000618;р. Ворона - с. Чутановка;78163;299;5560;121.14;БС;14.05.1914;Действует;Центрально-Черноземное УГМС;52.60595;42.77156
МАЛИНОВКА;20030700312118100057890 / 118105789;р.Малиновка - с.Ракитное;5287;105;4730;92.4;БС 77;31.05.1914;Действует;Приморское УГМС;45.63443;134.27393
Сита (Стрелка);20030900112118100068397 / 118106839;р.Сита - с.Князе-Волконское;5395;14;2980;0;усл.;06.06.1914;Действует;Дальневосточное УГМС;48.4737;135.4487
Пинега;03020300312103000034650 / 103003465;р.Пинега - с.Усть-Покшеньга;70332;268;31300;30.19;БС 77;30.06.1914;Действует;Северное УГМС;64.01;44.25
Ворскла (Ворскл, Ворскло, Ворскола);04010001612106000010450 / 106201045;р. Ворскла - с. Козинка;80442;348;1870;119.29;БС;22.08.1914;Действует;Центрально-Черноземное УГМС;50.47351;35.59305
Илистая (Лефу, Большая Лефу, Левая Лефу);20030700112118100054662 / 118105466;р.Илистая - с.Халкидон;5211;66;4030;69.63;БС 77;29.08.1914;Действует;Приморское УГМС;44.27602;132.40381
;;ОЗ. ЧУХЛОМСКОЕ - Г. ЧУХЛОМА;1500624;;318;148.15;БС;14.09.1914;Действует;Центральное УГМС;58.77;42.68
АМУР;20030900212118100000012 / 118100001;р.Амур - с.Нижнетамбовское;5026;514;1750000;8.18;БС 77;14.10.1914;Действует;Дальневосточное УГМС;50.9333;138.1667
Улу-Узень (Узень-Баш);21010000412106300001080 / 106300118;р. Улу-Узень - с. Солнечногорское;81677;0.95;32.5;9.13;БС;19.10.1914;Действует;Крымское УГМС;44.75;34.54
Самур;07030000412109300002187 / 109300218;р.Самур - с.Ахты;84343;102;2210;999.82;БС;20.12.1914;Действует;Северо-Кавказское УГМС;41.46;47.75
руч. Кизилташский(руч. Монастырский);21010000512106300001460 / 106300146;руч. Кизилташский - пгт Щебетовка;81697;0.1;35;55.3;БС;27.03.1915;Действует;Крымское УГМС;44.93;35.16
УССУРИ;20030700612118100051424 / 118105142;р.Уссури - с.Венюково;5116;111;157000;39.04;абс.;16.04.1915;Действует;Дальневосточное УГМС;47.48;134.56
Уса;03050200112103000065537 / 103006553;р. Уса - с.Петрунь;70466;259;27500;46.58;БС 77;12.06.1915;Действует;Северное УГМС;66.47765;60.68043
