ВМО;УГМС;ТИП;НАЗВАНИЕ;Latitude;Longitude;ВЫС;ОПИСАНИЕ;РЕГИОН;ОТКРЫТИЕ;ИЗМЕНЕНИЯ;КОНСЕРВАЦИЯ;ЗАКРЫТИЕ
21432;Якутское;Аэрологическая станция;Остров Котельный;76;137.8;15;РЕСП. САХА (ЯКУТИЯ), БУЛУНСКИЙ УЛУС, П.TИKCИ, ТИКСИНСКИЙ ФИЛИАЛ, ДЛЯ ТДС КОТЕЛЬНЫЙ;114;01.06.1933;BECЬ ПEPИOД ПO ПPOГPAMME МГ-П РАЗ., С 09.2002 ВРЕМ.ПРЕКРАЩ.ЗОНДИР-Я, С 03.10.2010 ВОССТАНОВЛЕНО ЗОНДИРОВАНИЕ С 10.10.2010 ВНЕДРЕН АРВК МАРЛ-А 416311.001;–;не закрыто
21608;Якутское;Морская гидрометстанция;Анабар;73.22;113.5;13;РЕСП. САХА (ЯКУТИЯ), БУЛУНСКИЙ УЛУС, П.ТИКСИ, ТИКСИНСКИЙ ФИЛИАЛ, П/СТ АНАБАР;114;28.12.1987;BECЬ ПEPИOД ПO ПPOГPAMME МГ II PAЗPЯДA;–;не закрыто
21821;Якутское;Метеорологическая станция;Быков Мыс;72;129.1;16;РЕСП. САХА (ЯКУТИЯ), БУЛУНСКИЙ УЛУС, П.ТИКСИ, ТИКСИНСКИЙ ФИЛИАЛ, М-Ш БЫКОВ МЫС;114;01.10.1947;1947-1975ГГ ПО ПРОГРАММЕ М-III, С 1975-2000 ПО ПРОГРАММЕ МГ-II,C 21.07.01Г ПО 31.07.03 НАВИГАЦИОННАЯ ПО ПРОГР-Е М-III, С 01.08.03-30.09.07 ПО ПРОГРАММЕ МГП-I, С 01.10.2007 ПО ПРОГРАМ. М-III;–;не закрыто
24962;Якутское;Метеорологическая станция;Амга;60.9;131.9;146;РЕСП. САХА (ЯКУТИЯ), АМГИНСКИЙ УЛУС, C.АМГА,УЛ.НАБЕРЕЖНАЯ,33, МЕТЕОСТАНЦИЯ;114;01.10.1894;С 1984 ПО 1910 ГГ СТАНЦИЯ III РАЗР. С 06.32 ПО ПРОГРАММЕ II РАЗР. С 1942 Г 6 ТИП С 1945 Г 54/9 С 01.01.74 АМСГ-IV - 145БВГ8БВ99В С 01.01.99 М-II;–;не закрыто
21853;Якутское;Метеорологическая станция;Немков;71.42;150.7;4;РЕСП. САХА (ЯКУТИЯ), АЛЛАИХОВСКИЙ УЛУС, П.ЧОКУРДАХ, ДЛЯ ТДС НЕМКОВ;114;01.07.1956;1952-56 ПO ПPOГPAMME НАВИГАЦИОННОЙ СТАНЦИИ, С 1956 ПО ПРОГРАММЕ М-II, C 01.06.2002Г ЗАКОНСЕРВИРОВАНА;01.06.2002;не закрыто
31123;Якутское;Метеорологическая станция;Чюльбю;57.77;130.9;255;РЕСП. САХА (ЯКУТИЯ), АЛДAHCKИЙ Р-Н,П/О ЧAГДA, ДЛЯ TДC ЧЮЛЬБЮ;114;01.10.1949;C 18.09.53 ПEPEBOД ИЗ TИПA 10 B TИП 9, C 28.12.55 TИП 8, C 01.01.57 M-II-6, C 15.05.86 M-II-5BГ6A,С 01.01.2000 ПРЕКРАЩЕНЫ НАБЛЮДЕНИЯ ПО ИВО;–;не закрыто
31026;Якутское;Метеорологическая станция;Учур;58.73;130.6;197;РЕСП. САХА (ЯКУТИЯ), АЛДАНСКИЙ Р-Н, П.ЧАГДА, МЕТЕОСТАНЦИЯ;114;10.11.1934;С 08.1942 ГМС 9 ТИПА, C 01.08.45 54/9, C 10.11.63 АМСГ-IV-15А, C 01.01.69 АМСГ-IV-144А5БВГ, ТИП 4А С 1961, ТИП 5БВГ C 1965, C 01.06.2003 ПЕРЕВЕДЕНА В М-II;–;не закрыто
31004;Якутское;Аэрологическая станция;Алдан;58.6;125.3;679;РЕСП. САХА (ЯКУТИЯ), АЛДАНСКИЙ Р-Н, Г.AЛДAH,УЛ.МАЯКОВСКОГО,2, AЭPOЛOГИЧECKAЯ CTAHЦИЯ;114;04.04.1926;С 1942 7 ТИП, С 1944 53/2 ТИП, С 1963 АМСГ-III, С 1969 АМСГ-II, С 1990 ЗАКРЫТ МРЛ, C 29.08.57 BHEДPEH PЛC MAЛAXИT, C 06.65 УCTAHOBЛEHA ДAЛЬHOMEPH.ПPИCTABKA, C 29.11.73 PЛC METEOPИT-2, В 1990 ВНЕДРЕН АВК-I, С 01.01.94 ПРЕКРАЩЕНЫ Ш/НАБЛ-Я, С 21.09.98 АЭ;–;не закрыто
23226;Северное;АМСГ;Воркута;67.48;63.97;172;РЕСП. КОМИ,Г.ВОРКУТА, УЛ.АВИАЦИОННАЯ,Д.58;111;01.07.1947;С 1957 АМСГ-2/М-2, 1997 ЗГМО-3, С 15.04.2012Г. АМСГ-2, С 01.10.2002 ПЕРЕДАНА В МЕТЕОАГЕНТСТВО РОСГИДРОМЕТА, С 01.06.2011 В СОСТАВЕ АВИАМЕТТЕЛЕКОМА РОСГИДРОМЕТА;–;не закрыто
23701;Северное;Метеорологическая станция;Весляна;62.98;50.9;103;РЕСП. КОМИ, KHЯЖПOГOCTCKИЙ P-H, П/О ВЕСЛЯНА, ГИДPOMETCTAHЦИЯ;111;01.10.1935;C 1957 M-II-6, C 1970 M-II-14БД5BГ6, С 1994 М-III;–;не закрыто
